11	48
16	16
10
0	1	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	5	4	5	6	7	
8	9	10	11	10	11	10	11	10	11	10	11	12	1	1	1	13	9	10	11	10	11	10	11	10	11	10	11	12	1	1	1	1	1	1	1	1	1	1	1	14	15	16	17	16	17	18	19	
20	21	22	21	22	21	22	21	22	21	22	21	23	2	1	2	24	21	22	21	22	21	22	21	22	21	22	21	23	2	1	2	1	2	1	2	1	2	1	2	25	26	27	28	29	28	30	31	
32	33	34	35	36	33	36	33	36	33	36	33	37	11	10	11	38	33	34	35	36	33	36	33	36	33	36	33	37	11	10	11	10	11	10	11	39	40	39	40	41	42	43	44	45	46	47	48	
20	21	49	50	51	21	22	21	22	21	22	21	22	21	22	21	22	21	49	50	51	21	22	21	22	21	22	21	22	21	22	21	22	21	22	21	49	50	52	50	53	54	55	56	57	28	6	7	
58	35	59	60	61	35	34	35	34	35	34	35	34	35	34	35	34	35	59	60	61	35	34	35	34	35	34	35	34	35	34	35	34	35	34	35	59	60	62	60	26	63	64	65	66	46	67	19	
68	50	53	69	70	50	52	50	52	50	52	50	52	50	52	50	52	50	53	69	70	50	52	50	52	50	52	50	52	50	52	50	52	50	52	50	53	69	26	26	26	54	71	7	27	28	30	31	
72	73	74	75	62	60	62	73	62	73	62	60	62	73	62	60	62	73	74	75	62	60	62	73	62	73	62	60	62	73	62	60	62	60	62	60	74	75	26	26	26	63	76	19	66	77	78	48	
79	80	81	82	83	83	84	80	84	80	83	83	84	80	83	83	84	80	81	82	83	83	84	80	84	80	83	83	84	80	83	83	83	83	85	26	81	82	86	26	87	88	89	90	91	92	93	31	
94	95	96	97	98	99	100	95	101	95	102	99	100	95	102	99	100	95	96	97	98	99	100	95	101	95	102	99	100	95	102	99	99	99	103	104	105	97	106	107	108	109	110	111	112	113	114	115	
116	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	
